Farmer_id,Farmer_name,Contact_no,Address,no_of_cows,Milk_production_capacity,Account_no,Date_of_joining,years_together
1,Farmer 1,6175597078,Address 1,4,89,3041072037,2019-01-02,9
2,Farmer 2,4895730045,Address 2,4,169,7457436032,2023-05-18,1
3,Farmer 3,2519949302,Address 3,13,355,7173489471,2012-09-02,9
4,Farmer 4,4717081610,Address 4,9,146,2599688335,2015-10-29,4
5,Farmer 5,2029202084,Address 5,7,211,4591113282,2014-03-31,8
6,Farmer 6,5506497656,Address 6,18,104,5970117325,2016-04-16,14
7,Farmer 7,4473953948,Address 7,17,295,6186149672,2018-07-29,10
8,Farmer 8,7993117834,Address 8,9,334,5056950892,2014-02-07,2
9,Farmer 9,3087055265,Address 9,13,228,7373326893,2019-08-20,8
10,Farmer 10,4439199025,Address 10,4,432,2324623157,2022-03-12,10
11,Farmer 11,8270603435,Address 11,1,31,9637848169,2020-09-23,1
12,Farmer 12,3036565331,Address 12,8,153,1130794003,2020-06-06,2
13,Farmer 13,1456101008,Address 13,4,79,8441934227,2014-05-18,5
14,Farmer 14,7708629281,Address 14,7,252,3910184352,2010-10-03,10
15,Farmer 15,3041433923,Address 15,14,473,6879805087,2017-08-19,1
16,Farmer 16,6309601533,Address 16,1,363,9755008191,2016-08-30,8
17,Farmer 17,7000333253,Address 17,3,445,4533364764,2019-11-07,12
18,Farmer 18,1146446361,Address 18,19,55,9009578591,2020-06-27,2
19,Farmer 19,6186735144,Address 19,18,318,1463230176,2015-01-22,5
20,Farmer 20,9536983528,Address 20,4,361,5827369313,2020-09-21,4
